PlaneID   Status    Request Time   Runway Time    Turnaround Time     
2         L         0              2              2                   
4         L         1              4              3                   
1         D         0              6              6                   
8         L         6              8              2                   
10        L         7              10             3                   
12        L         8              12             4                   
3         D         1              14             13                  
5         D         2              16             14                  
14        L         9              18             9                   
7         D         6              20             14                  
13        D         9              22             13                  
16        L         12             24             12                  
15        D         11             26             15                  
20        L         15             28             13                  
22        L         17             30             13                  
17        D         13             32             19                  
19        D         15             34             19                  
26        L         23             36             13                  
23        D         18             38             20                  
30        L         27             40             13                  
32        L         30             42             12                  
25        D         23             44             21                  
34        L         31             46             15                  
27        D         25             48             23                  
36        L         33             50             17                  
29        D         27             52             25                  
38        L         34             54             20                  
31        D         30             56             26                  
40        L         35             58             23                  
33        D         31             60             29                  
