PlaneID   Status    Request Time   Runway Time    Turnaround Time     
2         L         0              2              2                   
4         L         1              4              3                   
1         D         0              6              6                   
10        L         6              8              2                   
3         D         1              10             9                   
16        L         10             12             2                   
18        L         12             14             2                   
5         D         3              16             13                  
7         D         4              18             14                  
28        L         17             20             3                   
30        L         18             22             4                   
32        L         21             24             3                   
34        L         22             26             4                   
36        L         23             28             5                   
40        L         26             30             4                   
42        L         27             32             5                   
44        L         32             34             2                   
48        L         34             36             2                   
50        L         35             38             3                   
52        L         36             40             4                   
54        L         37             42             5                   
56        L         39             44             5                   
58        L         40             46             6                   
60        L         41             48             7                   
62        L         45             50             5                   
64        L         47             52             5                   
66        L         49             54             5                   
68        L         50             56             6                   
70        L         53             58             5                   
74        L         56             60             4                   
