PlaneID   Status    Request Time   Runway Time    Turnaround Time     
2         L         0              2              2                   
4         L         1              4              3                   
1         D         0              6              6                   
10        L         6              8              2                   
3         D         1              10             9                   
16        L         10             12             2                   
18        L         12             14             2                   
5         D         3              16             13                  
7         D         4              18             14                  
9         D         6              20             14                  
11        D         7              22             15                  
13        D         9              24             15                  
15        D         10             26             16                  
17        D         11             28             17                  
19        D         13             30             17                  
28        L         17             32             15                  
21        D         14             34             20                  
30        L         18             36             18                  
23        D         15             38             23                  
32        L         21             40             19                  
25        D         16             42             26                  
34        L         22             44             22                  
27        D         17             46             29                  
36        L         23             48             25                  
31        D         21             50             29                  
40        L         26             52             26                  
35        D         23             54             31                  
42        L         27             56             29                  
37        D         24             58             34                  
44        L         32             60             28                  
