PlaneID   Status    Request Time   Runway Time    Turnaround Time     
2         L         0              2              2                   
4         L         1              4              3                   
1         D         0              6              6                   
8         L         6              8              2                   
10        L         7              10             3                   
12        L         8              12             4                   
3         D         1              14             13                  
5         D         2              16             14                  
7         D         6              18             12                  
13        D         9              20             11                  
14        L         9              22             13                  
16        L         12             24             12                  
15        D         11             26             15                  
17        D         13             28             15                  
19        D         15             30             15                  
23        D         18             32             14                  
25        D         23             34             11                  
27        D         25             36             11                  
20        L         15             38             23                  
29        D         27             40             13                  
31        D         30             42             12                  
33        D         31             44             13                  
35        D         33             46             13                  
22        L         17             48             31                  
41        D         37             50             13                  
26        L         23             52             29                  
43        D         38             54             16                  
47        D         41             56             15                  
30        L         27             58             31                  
49        D         42             60             18                  
