PlaneID   Status    Request Time   Runway Time    Turnaround Time     
2         L         0              2              2                   
4         L         1              4              3                   
6         L         2              6              4                   
10        L         4              8              4                   
1         D         0              10             10                  
3         D         1              12             11                  
7         D         3              14             11                  
9         D         4              16             12                  
13        D         7              18             11                  
15        D         8              20             12                  
17        D         9              22             13                  
21        D         12             24             12                  
25        D         14             26             12                  
12        L         6              28             22                  
27        D         15             30             15                  
18        L         9              32             23                  
29        D         17             34             17                  
35        D         22             36             14                  
37        D         24             38             14                  
39        D         28             40             12                  
45        D         31             42             11                  
47        D         32             44             12                  
51        D         36             46             10                  
53        D         37             48             11                  
55        D         39             50             11                  
57        D         41             52             11                  
61        D         44             54             10                  
63        D         45             56             11                  
65        D         46             58             12                  
67        D         47             60             13                  
