PlaneID   Status    Request Time   Runway Time    Turnaround Time     
2         L         0              2              2                   
4         L         1              4              3                   
6         L         2              6              4                   
10        L         4              8              4                   
12        L         6              10             4                   
18        L         9              12             3                   
1         D         0              14             14                  
3         D         1              16             15                  
7         D         3              18             15                  
9         D         4              20             16                  
13        D         7              22             15                  
20        L         11             24             13                  
15        D         8              26             18                  
22        L         12             28             16                  
17        D         9              30             21                  
24        L         13             32             19                  
21        D         12             34             22                  
30        L         18             36             18                  
25        D         14             38             24                  
32        L         19             40             21                  
27        D         15             42             27                  
34        L         20             44             24                  
29        D         17             46             29                  
38        L         26             48             22                  
35        D         22             50             28                  
40        L         28             52             24                  
37        D         24             54             30                  
42        L         29             56             27                  
39        D         28             58             30                  
44        L         30             60             30                  
