PlaneID   Status    Request Time   Runway Time    Turnaround Time     
2         L         0              2              2                   
4         L         1              4              3                   
1         D         0              6              6                   
10        L         6              8              2                   
3         D         1              10             9                   
5         D         3              12             9                   
7         D         4              14             10                  
9         D         6              16             10                  
11        D         7              18             11                  
13        D         9              20             11                  
15        D         10             22             12                  
17        D         11             24             13                  
19        D         13             26             13                  
21        D         14             28             14                  
23        D         15             30             15                  
25        D         16             32             16                  
27        D         17             34             17                  
31        D         21             36             15                  
35        D         23             38             15                  
37        D         24             40             16                  
39        D         25             42             17                  
41        D         27             44             17                  
43        D         32             46             14                  
45        D         33             48             15                  
16        L         10             50             40                  
47        D         34             52             18                  
49        D         35             54             19                  
55        D         38             56             18                  
61        D         42             58             16                  
18        L         12             60             48                  
