PlaneID   Status    Request Time   Runway Time    Turnaround Time     
2         L         0              2              2                   
4         L         1              4              3                   
6         L         2              6              4                   
10        L         4              8              4                   
12        L         6              10             4                   
18        L         9              12             3                   
20        L         11             14             3                   
22        L         12             16             4                   
24        L         13             18             5                   
30        L         18             20             2                   
32        L         19             22             3                   
34        L         20             24             4                   
1         D         0              26             26                  
38        L         26             28             2                   
40        L         28             30             2                   
42        L         29             32             3                   
44        L         30             34             4                   
48        L         32             36             4                   
50        L         35             38             3                   
52        L         36             40             4                   
54        L         38             42             4                   
56        L         40             44             4                   
58        L         41             46             5                   
60        L         43             48             5                   
62        L         44             50             6                   
64        L         45             52             7                   
68        L         48             54             6                   
70        L         50             56             6                   
72        L         52             58             6                   
74        L         53             60             7                   
