PlaneID   Status    Request Time   Runway Time    Turnaround Time     
2         L         0              2              2                   
4         L         1              4              3                   
1         D         0              6              6                   
8         L         6              8              2                   
10        L         7              10             3                   
12        L         8              12             4                   
14        L         9              14             5                   
16        L         12             16             4                   
20        L         15             18             3                   
22        L         17             20             3                   
3         D         1              22             21                  
5         D         2              24             22                  
26        L         23             26             3                   
7         D         6              28             22                  
30        L         27             30             3                   
32        L         30             32             2                   
34        L         31             34             3                   
36        L         33             36             3                   
38        L         34             38             4                   
40        L         35             40             5                   
42        L         37             42             5                   
44        L         38             44             6                   
46        L         39             46             7                   
48        L         41             48             7                   
50        L         43             50             7                   
52        L         45             52             7                   
54        L         46             54             8                   
56        L         47             56             9                   
58        L         51             58             7                   
60        L         52             60             8                   
